+------------+-----------+-----------+------------+----------+----------+------+----------+
| department | firstName | lastName  | shiftDate  | start    | end      | pay  | status   |
| QUARR      | Kevin     | Keller    | 2017-10-06 | 23:00:00 | 07:00:00 |  240 | Call-in  |
| QUARR      | Tom       | Tarantino | 2017-10-06 | 15:00:00 | 23:00:00 |  324 | Call-in  |
| ICU        | Brad      | Baker     | 2017-10-07 | 19:00:00 | 07:00:00 |  360 | Call-in  |
| ICU        | Peter     | Parker    | 2017-10-07 | 19:00:00 | 07:00:00 |    0 | Call-off |
| ICU        | Robert    | Rodgers   | 2017-10-07 | 19:00:00 | 07:00:00 |  306 | Req-off  |
| MAT        | George    | Grant     | 2017-10-07 | 19:00:00 | 07:00:00 |  342 | Req-in   |
| OR         | Adam      | Apple     | 2017-10-07 | 19:00:00 | 07:00:00 |  540 | Call-in  |
| OR         | Evan      | Elliott   | 2017-10-07 | 07:00:00 | 19:00:00 |  378 | Req-off  |
| PSYCH      | Frank     | Farris    | 2017-10-07 | 19:00:00 | 07:00:00 |  576 | Req-in   |
| PSYCH      | Hank      | Hamill    | 2017-10-07 | 19:00:00 | 07:00:00 |  504 | Call-in  |
| PSYCH      | Kevin     | Keller    | 2017-10-07 | 19:00:00 | 07:00:00 |  480 | Call-in  |
| QUARR      | Charles   | Chaplan   | 2017-10-07 | 07:00:00 | 19:00:00 |  666 | Req-off  |
| QUARR      | Nick      | Norton    | 2017-10-07 | 19:00:00 | 07:00:00 |  552 | Call-in  |
| QUARR      | Quinn     | Quarrick  | 2017-10-07 | 07:00:00 | 19:00:00 |    0 | Call-off |
| ER         | Brad      | Baker     | 2017-10-08 | 19:00:00 | 07:00:00 |  270 | Req-off  |
| ER         | Sam       | Saville   | 2017-10-08 | 19:00:00 | 07:00:00 |    0 | Call-off |
| ICU        | Evan      | Elliott   | 2017-10-08 | 07:00:00 | 19:00:00 |  504 | Call-in  |
| ICU        | Robert    | Rodgers   | 2017-10-08 | 19:00:00 | 07:00:00 |  306 | Req-in   |
| ICU        | Tom       | Tarantino | 2017-10-08 | 19:00:00 | 07:00:00 |    0 | Call-off |
| MAT        | Adam      | Apple     | 2017-10-08 | 07:00:00 | 19:00:00 |  405 | Req-off  |
| MAT        | George    | Grant     | 2017-10-08 | 19:00:00 | 07:00:00 |  342 | Req-off  |
| MAT        | Kevin     | Keller    | 2017-10-08 | 19:00:00 | 07:00:00 |  480 | Call-in  |
| MAT        | Mark      | Morris    | 2017-10-08 | 19:00:00 | 07:00:00 |  576 | Req-off  |
| PSYCH      | Ivan      | Ikarov    | 2017-10-08 | 19:00:00 | 07:00:00 |    0 | Call-off |
| PSYCH      | Peter     | Parker    | 2017-10-08 | 07:00:00 | 19:00:00 |  702 | Req-off  |
| PSYCH      | Quinn     | Quarrick  | 2017-10-08 | 19:00:00 | 07:00:00 |    0 | Call-off |
| QUARR      | Nick      | Norton    | 2017-10-08 | 07:00:00 | 19:00:00 |    0 | Call-off |
| ER         | Hank      | Hamill    | 2017-10-09 | 07:00:00 | 15:00:00 |  168 | Req-in   |
| ICU        | Quinn     | Quarrick  | 2017-10-09 | 15:00:00 | 23:00:00 |  120 | Req-in   |
| ICU        | Sam       | Saville   | 2017-10-09 | 23:00:00 | 07:00:00 |  304 | Req-in   |
| MAT        | Jack      | Joplin    | 2017-10-09 | 15:00:00 | 23:00:00 |  252 | Call-in  |
| MAT        | Mark      | Morris    | 2017-10-09 | 23:00:00 | 07:00:00 |  256 | Req-in   |
| MAT        | Nick      | Norton    | 2017-10-09 | 07:00:00 | 15:00:00 |  184 | Req-off  |
| MAT        | Robert    | Rodgers   | 2017-10-09 | 15:00:00 | 23:00:00 |  136 | Req-off  |
| OR         | Derek     | Davis     | 2017-10-09 | 07:00:00 | 15:00:00 |  320 | Req-off  |
| OR         | Evan      | Elliott   | 2017-10-09 | 15:00:00 | 23:00:00 |  168 | Req-in   |
| OR         | Kevin     | Keller    | 2017-10-09 | 07:00:00 | 15:00:00 |    0 | Call-off |
| PSYCH      | Brad      | Baker     | 2017-10-09 | 15:00:00 | 23:00:00 |  120 | Req-off  |
| PSYCH      | Peter     | Parker    | 2017-10-09 | 23:00:00 | 07:00:00 |  312 | Req-off  |
| QUARR      | Charles   | Chaplan   | 2017-10-09 | 15:00:00 | 23:00:00 |  444 | Call-in  |
| QUARR      | Frank     | Farris    | 2017-10-09 | 23:00:00 | 07:00:00 |  256 | Req-off  |
| QUARR      | Orval     | Obrian    | 2017-10-09 | 23:00:00 | 07:00:00 |  360 | Call-in  |
| ER         | Brad      | Baker     | 2017-10-10 | 23:00:00 | 07:00:00 |  120 | Req-in   |
| ER         | Hank      | Hamill    | 2017-10-10 | 07:00:00 | 15:00:00 |  252 | Call-in  |
| ER         | Mark      | Morris    | 2017-10-10 | 23:00:00 | 07:00:00 |  256 | Req-in   |
| ICU        | Adam      | Apple     | 2017-10-10 | 07:00:00 | 15:00:00 |  180 | Req-in   |
| ICU        | Sam       | Saville   | 2017-10-10 | 15:00:00 | 23:00:00 |  304 | Req-off  |
| MAT        | Charles   | Chaplan   | 2017-10-10 | 23:00:00 | 07:00:00 |  296 | Req-off  |
| MAT        | Derek     | Davis     | 2017-10-10 | 23:00:00 | 07:00:00 |  320 | Req-in   |
| MAT        | Quinn     | Quarrick  | 2017-10-10 | 23:00:00 | 07:00:00 |  180 | Call-in  |
| OR         | Evan      | Elliott   | 2017-10-10 | 23:00:00 | 07:00:00 |    0 | Call-off |
| OR         | Jack      | Joplin    | 2017-10-10 | 15:00:00 | 23:00:00 |  168 | Req-off  |
| PSYCH      | Lenny     | Landman   | 2017-10-10 | 15:00:00 | 23:00:00 |  136 | Req-off  |
| PSYCH      | Peter     | Parker    | 2017-10-10 | 07:00:00 | 15:00:00 |  468 | Call-in  |
| QUARR      | Frank     | Farris    | 2017-10-10 | 15:00:00 | 23:00:00 |  256 | Req-off  |
| QUARR      | George    | Grant     | 2017-10-10 | 15:00:00 | 23:00:00 |  152 | Req-off  |
| QUARR      | Kevin     | Keller    | 2017-10-10 | 07:00:00 | 15:00:00 |  240 | Call-in  |
+------------+-----------+-----------+------------+----------+----------+------+----------+
143 rows in set (0.01 sec)
