+-----------+---------+-----------+------------+-------------+-----------+------------+---------+
| dept_name | fname   | lname     | day        | shift_start | shift_end | hourly_pay | status  |
| ER        | Quinn   | Quarrick  | 2017-10-02 | 07:00:00    | 15:00:00  |         15 | CallIn  |
| MAT       | Quinn   | Quarrick  | 2017-10-03 | 23:00:00    | 07:00:00  |         15 | ReqOff  |
| PSYCH     | Robert  | Rodgers   | 2017-10-03 | 23:00:00    | 07:00:00  |         17 | ReqIn   |
| QUAR      | Robert  | Rodgers   | 2017-10-05 | 07:00:00    | 15:00:00  |         17 | ReqIn   |
| QUAR      | Robert  | Rodgers   | 2017-10-01 | 19:00:00    | 07:00:00  |         17 | ReqOff  |
| ICU       | Sam     | Saville   | 2017-10-05 | 23:00:00    | 07:00:00  |         38 | CallIn  |
| ER        | Sam     | Saville   | 2017-10-01 | 19:00:00    | 07:00:00  |         38 | ReqOff  |
| OR        | Sam     | Saville   | 2017-10-03 | 15:00:00    | 23:00:00  |         38 | CallIn  |
| ICU       | Sam     | Saville   | 2017-10-04 | 23:00:00    | 07:00:00  |         38 | CallOff |
| PSYCH     | Tom     | Tarantino | 2017-10-04 | 23:00:00    | 07:00:00  |         27 | CallOff |
| OR        | Tom     | Tarantino | 2017-10-05 | 07:00:00    | 15:00:00  |         27 | ReqOff  |
| PSYCH     | Tom     | Tarantino | 2017-10-02 | 23:00:00    | 07:00:00  |         27 | ReqIn   |
+-----------+---------+-----------+------------+-------------+-----------+------------+---------+
